date,value
1961-01-01,22
1961-02-01,45
1961-03-01,43
1961-04-01,50
1961-05-01,85
1961-06-01,94
1961-07-01,73
1961-08-01,64
1961-09-01,31
1961-10-01,50
1961-11-01,48
1961-12-01,46
1962-01-01,39
1962-02-01,49
1962-03-01,50
1962-04-01,42
1962-05-01,118
1962-06-01,42
1962-07-01,64
1962-08-01,40
1962-09-01,51
1962-10-01,30
1962-11-01,53
1962-12-01,41
1963-01-01,30
1963-02-01,20
1963-03-01,35
1963-04-01,27
1963-05-01,87
1963-06-01,106
1963-07-01,40
1963-08-01,80
1963-09-01,70
1963-10-01,29
1963-11-01,56
1963-12-01,8
1964-01-01,15
1964-02-01,27
1964-03-01,37
1964-04-01,43
1964-05-01,56
1964-06-01,88
1964-07-01,46
1964-08-01,121
1964-09-01,26
1964-10-01,105
1964-11-01,47
1964-12-01,32
1965-01-01,52
1965-02-01,40
1965-03-01,45
1965-04-01,80
1965-05-01,141
1965-06-01,101
1965-07-01,105
1965-08-01,60
1965-09-01,60
1965-10-01,10
1965-11-01,46
1965-12-01,68
1966-01-01,29
1966-02-01,52
1966-03-01,46
1966-04-01,58
1966-05-01,61
1966-06-01,121
1966-07-01,137
1966-08-01,128
1966-09-01,31
1966-10-01,47
1966-11-01,40
1966-12-01,83
1967-01-01,42
1967-02-01,41
1967-03-01,47
1967-04-01,40
1967-05-01,101
1967-06-01,72
1967-07-01,67
1967-08-01,58
1967-09-01,104
1967-10-01,27
1967-11-01,31
1967-12-01,69
1968-01-01,64
1968-02-01,26
1968-03-01,32
1968-04-01,41
1968-05-01,66
1968-06-01,92
1968-07-01,73
1968-08-01,107
1968-09-01,62
1968-10-01,38
1968-11-01,47
1968-12-01,23
1969-01-01,35
1969-02-01,37
1969-03-01,47
1969-04-01,38
1969-05-01,64
1969-06-01,104
1969-07-01,42
1969-08-01,70
1969-09-01,25
1969-10-01,20
1969-11-01,56
1969-12-01,29
1970-01-01,18
1970-02-01,87
1970-03-01,55
1970-04-01,57
1970-05-01,51
1970-06-01,77
1970-07-01,79
1970-08-01,111
1970-09-01,31
1970-10-01,65
1970-11-01,67
1970-12-01,42
1971-01-01,19
1971-02-01,33
1971-03-01,37
1971-04-01,37
1971-05-01,78
1971-06-01,115
1971-07-01,33
1971-08-01,62
1971-09-01,46
1971-10-01,23
1971-11-01,58
1971-12-01,38
1972-01-01,26
1972-02-01,18
1972-03-01,23
1972-04-01,73
1972-05-01,91
1972-06-01,72
1972-07-01,100
1972-08-01,61
1972-09-01,57
1972-10-01,17
1972-11-01,36
1972-12-01,4
1973-01-01,23
1973-02-01,47
1973-03-01,21
1973-04-01,57
1973-05-01,49
1973-06-01,73
1973-07-01,91
1973-08-01,24
1973-09-01,33
1973-10-01,42
1973-11-01,43
1973-12-01,39
1974-01-01,40
1974-02-01,29
1974-03-01,18
1974-04-01,20
1974-05-01,94
1974-06-01,106
1974-07-01,95
1974-08-01,68
1974-09-01,43
1974-10-01,105
1974-11-01,49
1974-12-01,104
1975-01-01,32
1975-02-01,17
1975-03-01,52
1975-04-01,33
1975-05-01,69
1975-06-01,112
1975-07-01,79
1975-08-01,69
1975-09-01,31
1975-10-01,53
1975-11-01,46
1975-12-01,28
1976-01-01,104
1976-02-01,13
1976-03-01,21
1976-04-01,23
1976-05-01,66
1976-06-01,34
1976-07-01,71
1976-08-01,56
1976-09-01,58
1976-10-01,49
1976-11-01,66
1976-12-01,36
1977-01-01,60
1977-02-01,63
1977-03-01,41
1977-04-01,50
1977-05-01,54
1977-06-01,78
1977-07-01,99
1977-08-01,152
1977-09-01,54
1977-10-01,26
1977-11-01,71
1977-12-01,33
1978-01-01,32
1978-02-01,18
1978-03-01,33
1978-04-01,41
1978-05-01,94
1978-06-01,56
1978-07-01,67
1978-08-01,92
1978-09-01,65
1978-10-01,44
1978-11-01,24
1978-12-01,55
1979-01-01,41
1979-02-01,37
1979-03-01,69
1979-04-01,56
1979-05-01,27
1979-06-01,127
1979-07-01,66
1979-08-01,65
1979-09-01,83
1979-10-01,22
1979-11-01,73
1979-12-01,65
1980-01-01,33
1980-02-01,38
1980-03-01,33
1980-04-01,77
1980-05-01,39
1980-06-01,87
1980-07-01,154
1980-08-01,48
1980-09-01,44
1980-10-01,67
1980-11-01,37
1980-12-01,36
1981-01-01,59
1981-02-01,30
1981-03-01,57
1981-04-01,34
1981-05-01,60
1981-06-01,50
1981-07-01,163
1981-08-01,61
1981-09-01,70
1981-10-01,106
1981-11-01,61
1981-12-01,72
1982-01-01,49
1982-02-01,8
1982-03-01,37
1982-04-01,30
1982-05-01,55
1982-06-01,81
1982-07-01,72
1982-08-01,74
1982-09-01,21
1982-10-01,29
1982-11-01,24
1982-12-01,60
1983-01-01,68
1983-02-01,42
1983-03-01,36
1983-04-01,60
1983-05-01,79
1983-06-01,63
1983-07-01,29
1983-08-01,84
1983-09-01,38
1983-10-01,24
1983-11-01,36
1983-12-01,27
1984-01-01,47
1984-02-01,47
1984-03-01,22
1984-04-01,49
1984-05-01,81
1984-06-01,60
1984-07-01,72
1984-08-01,60
1984-09-01,96
1984-10-01,31
1984-11-01,40
1984-12-01,22
1985-01-01,40
1985-02-01,34
1985-03-01,36
1985-04-01,40
1985-05-01,82
1985-06-01,83
1985-07-01,79
1985-08-01,137
1985-09-01,27
1985-10-01,13
1985-11-01,72
1985-12-01,46
1986-01-01,64
1986-02-01,19
1986-03-01,38
1986-04-01,35
1986-05-01,114
1986-06-01,69
1986-07-01,74
1986-08-01,114
1986-09-01,29
1986-10-01,49
1986-11-01,27
1986-12-01,81
1987-01-01,67
1987-02-01,42
1987-03-01,41
1987-04-01,36
1987-05-01,102
1987-06-01,107
1987-07-01,86
1987-08-01,70
1987-09-01,69
1987-10-01,31
1987-11-01,45
1987-12-01,54
1988-01-01,37
1988-02-01,60
1988-03-01,75
1988-04-01,18
1988-05-01,40
1988-06-01,78
1988-07-01,88
1988-08-01,84
1988-09-01,61
1988-10-01,26
1988-11-01,48
1988-12-01,80
1989-01-01,16
1989-02-01,31
1989-03-01,30
1989-04-01,69
1989-05-01,46
1989-06-01,75
1989-07-01,71
1989-08-01,65
1989-09-01,66
1989-10-01,32
1989-11-01,37
1989-12-01,34
1990-01-01,16
1990-02-01,59
1990-03-01,23
1990-04-01,68
1990-05-01,43
1990-06-01,76
1990-07-01,34
1990-08-01,48
1990-09-01,67
1990-10-01,39
1990-11-01,70
1990-12-01,38
1991-01-01,16
1991-02-01,17
1991-03-01,27
1991-04-01,32
1991-05-01,64
1991-06-01,95
1991-07-01,76
1991-08-01,70
1991-09-01,31
1991-10-01,17
1991-11-01,72
1991-12-01,69
1992-01-01,30
1992-02-01,36
1992-03-01,78
1992-04-01,36
1992-05-01,18
1992-06-01,81
1992-07-01,69
1992-08-01,46
1992-09-01,41
1992-10-01,70
1992-11-01,46
1992-12-01,47
1993-01-01,43
1993-02-01,35
1993-03-01,28
1993-04-01,20
1993-05-01,52
1993-06-01,95
1993-07-01,96
1993-08-01,56
1993-09-01,60
1993-10-01,51
1993-11-01,45
1993-12-01,84
1994-01-01,45
1994-02-01,17
1994-03-01,68
1994-04-01,63
1994-05-01,70
1994-06-01,34
1994-07-01,56
1994-08-01,104
1994-09-01,63
1994-10-01,39
1994-11-01,34
1994-12-01,63
1995-01-01,65
1995-02-01,34
1995-03-01,56
1995-04-01,58
1995-05-01,87
1995-06-01,113
1995-07-01,61
1995-08-01,99
1995-09-01,96
1995-10-01,11
1995-11-01,54
1995-12-01,43
1996-01-01,20
1996-02-01,31
1996-03-01,32
1996-04-01,43
1996-05-01,107
1996-06-01,88
1996-07-01,89
1996-08-01,94
1996-09-01,67
1996-10-01,57
1996-11-01,43
1996-12-01,27
1997-01-01,16
1997-02-01,44
1997-03-01,44
1997-04-01,52
1997-05-01,60
1997-06-01,75
1997-07-01,204
1997-08-01,50
1997-09-01,25
1997-10-01,45
1997-11-01,48
1997-12-01,50
1998-01-01,28
1998-02-01,13
1998-03-01,50
1998-04-01,32
1998-05-01,36
1998-06-01,108
1998-07-01,93
1998-08-01,47
1998-09-01,114
1998-10-01,112
1998-11-01,46
1998-12-01,26
1999-01-01,35
1999-02-01,64
1999-03-01,37
1999-04-01,42
1999-05-01,50
1999-06-01,97
1999-07-01,80
1999-08-01,45
1999-09-01,48
1999-10-01,29
1999-11-01,41
1999-12-01,50
2000-01-01,54
2000-02-01,45
2000-03-01,116
2000-04-01,20
2000-05-01,60
2000-06-01,52
2000-07-01,121
2000-08-01,49
2000-09-01,41
2000-10-01,48
2000-11-01,47
2000-12-01,32
2001-01-01,39
2001-02-01,31
2001-03-01,69
2001-04-01,63
2001-05-01,61
2001-06-01,78
2001-07-01,119
2001-08-01,92
2001-09-01,107
2001-10-01,26
2001-11-01,54
2001-12-01,62
2002-01-01,26
2002-02-01,69
2002-03-01,42
2002-04-01,34
2002-05-01,53
2002-06-01,92
2002-07-01,87
2002-08-01,176
2002-09-01,63
2002-10-01,89
2002-11-01,72
2002-12-01,51
2003-01-01,53
2003-02-01,12
2003-03-01,14
2003-04-01,28
2003-05-01,77
2003-06-01,40
2003-07-01,81
2003-08-01,31
2003-09-01,31
2003-10-01,63
2003-11-01,22
2003-12-01,53
2004-01-01,70
2004-02-01,48
2004-03-01,48
2004-04-01,36
2004-05-01,57
2004-06-01,95
2004-07-01,64
2004-08-01,55
2004-09-01,52
2004-10-01,44
2004-11-01,73
2004-12-01,23
2005-01-01,66
2005-02-01,62
2005-03-01,26
2005-04-01,40
2005-05-01,80
2005-06-01,56
2005-07-01,131
2005-08-01,95
2005-09-01,51
2005-10-01,11
2005-11-01,32
2005-12-01,69
2006-01-01,35
2006-02-01,44
2006-03-01,70
2006-04-01,74
2006-05-01,92
2006-06-01,86
2006-07-01,38
2006-08-01,140
2006-09-01,18
2006-10-01,32
2006-11-01,45
2006-12-01,28
2007-01-01,72
2007-02-01,43
2007-03-01,52
2007-04-01,5
2007-05-01,78
2007-06-01,78
2007-07-01,84
2007-08-01,71
2007-09-01,115
2007-10-01,35
2007-11-01,74
2007-12-01,34
2008-01-01,37
2008-02-01,27
2008-03-01,60
2008-04-01,52
2008-05-01,57
2008-06-01,60
2008-07-01,86
2008-08-01,69
2008-09-01,48
2008-10-01,44
2008-11-01,43
2008-12-01,36
2009-01-01,25
2009-02-01,61
2009-03-01,76
2009-04-01,23
2009-05-01,86
2009-06-01,113
2009-07-01,111
2009-08-01,57
2009-09-01,22
2009-10-01,67
2009-11-01,43
2009-12-01,58
2010-01-01,59
2010-02-01,26
2010-03-01,33
2010-04-01,48
2010-05-01,133
2010-06-01,75
2010-07-01,118
2010-08-01,149
2010-09-01,84
2010-10-01,13
2010-11-01,65
2010-12-01,65
2011-01-01,41
2011-02-01,10
2011-03-01,30
2011-04-01,34
2011-05-01,67
2011-06-01,82
2011-07-01,145
2011-08-01,69
2011-09-01,48
2011-10-01,44
2011-11-01,1
2011-12-01,56
2012-01-01,81
2012-02-01,34
2012-03-01,15
2012-04-01,39
2012-05-01,48
2012-06-01,84
2012-07-01,113
2012-08-01,75
2012-09-01,49
2012-10-01,56
2012-11-01,39
2012-12-01,56
2013-01-01,61
2013-02-01,51
2013-03-01,36
2013-04-01,26
2013-05-01,113
2013-06-01,146
2013-07-01,34
2013-08-01,85
2013-09-01,74
2013-10-01,44
2013-11-01,36
2013-12-01,19
2014-01-01,27
2014-02-01,10
2014-03-01,32
2014-04-01,39
2014-05-01,111
2014-06-01,38
2014-07-01,102
2014-08-01,91
2014-09-01,96
2014-10-01,49
2014-11-01,23
2014-12-01,39
2015-01-01,53
2015-02-01,12
2015-03-01,48
2015-04-01,30
2015-05-01,49
2015-06-01,58
2015-07-01,36
2015-08-01,67
2015-09-01,32
2015-10-01,52
2015-11-01,74
2015-12-01,20
2016-01-01,40
2016-02-01,62
2016-03-01,30
2016-04-01,40
2016-05-01,58
2016-06-01,82
2016-07-01,115
2016-08-01,41
2016-09-01,37
2016-10-01,65
2016-11-01,38
2016-12-01,28
2017-01-01,33
2017-02-01,24
2017-03-01,42
2017-04-01,77
2017-05-01,44
2017-06-01,69
2017-07-01,90
2017-08-01,68
2017-09-01,67
2017-10-01,81
2017-11-01,49
2017-12-01,38
2018-01-01,48
2018-02-01,14
2018-03-01,32
2018-04-01,20
2018-05-01,62
2018-06-01,76
2018-07-01,42
2018-08-01,37
2018-09-01,66
2018-10-01,35
2018-11-01,18
2018-12-01,72
2019-01-01,65
2019-02-01,31
2019-03-01,48
2019-04-01,25
2019-05-01,91
2019-06-01,53
2019-07-01,58
2019-08-01,77
2019-09-01,62
2019-10-01,43
2019-11-01,43
2019-12-01,38
2020-01-01,19
2020-02-01,78
2020-03-01,36
2020-04-01,18
2020-05-01,75
2020-06-01,152
2020-07-01,61
2020-08-01,111
2020-09-01,74
2020-10-01,92
2020-11-01,22
2020-12-01,28